epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,96.9892,0.7517,1.06469,1.26254,0.91848,0.55315,0.8333,0.60225,1.42914,1.37773,1.34957,2.82082e-05,2.82082e-05,2.82082e-05
40,99.2993,0.66986,1.08749,1.10845,0.91848,0.55315,0.8333,0.60225,1.42914,1.37773,1.34957,2.84911e-05,2.84911e-05,2.84911e-05
41,101.935,0.74414,0.80589,1.1187,0.91657,0.55301,0.83024,0.59979,1.4319,1.39068,1.34304,2.87504e-05,2.87504e-05,2.87504e-05
42,105.024,0.80814,0.66599,1.20579,0.91657,0.55301,0.83024,0.59979,1.4319,1.39068,1.34304,2.89861e-05,2.89861e-05,2.89861e-05
43,107.522,0.38962,1.60165,1.03435,0.91709,0.55271,0.77888,0.52653,1.43629,1.40617,1.33973,2.91983e-05,2.91983e-05,2.91983e-05
44,110.096,0.88762,0.55914,1.29241,0.91709,0.55271,0.77888,0.52653,1.43629,1.40617,1.33973,2.93869e-05,2.93869e-05,2.93869e-05
45,112.59,0.54389,0.70371,1.10735,0.91608,0.55258,0.72225,0.52042,1.44835,1.43321,1.34475,2.9552e-05,2.9552e-05,2.9552e-05
46,115.139,0.84791,0.72452,1.29822,0.91608,0.55258,0.72225,0.52042,1.44835,1.43321,1.34475,2.96935e-05,2.96935e-05,2.96935e-05
47,117.556,0.59428,0.54967,1.04825,0.9164,0.55,0.71794,0.5017,1.462,1.46353,1.34843,2.98114e-05,2.98114e-05,2.98114e-05
48,119.903,0.63456,0.54239,1.05457,0.9164,0.55,0.71794,0.5017,1.462,1.46353,1.34843,2.99058e-05,2.99058e-05,2.99058e-05
49,122.311,0.87766,0.61302,1.19486,0.88425,0.55,0.71254,0.49845,1.47796,1.481,1.34982,2.99766e-05,2.99766e-05,2.99766e-05
50,124.708,0.7199,0.47504,1.10173,0.88425,0.55,0.71254,0.49845,1.47796,1.481,1.34982,3.00238e-05,3.00238e-05,3.00238e-05
51,127.087,0.62269,0.54938,1.08243,0.87971,0.55,0.71233,0.49654,1.48337,1.51038,1.34152,3.00475e-05,3.00475e-05,3.00475e-05
52,129.489,0.70754,0.60103,1.12579,0.87971,0.55,0.71233,0.49654,1.48337,1.51038,1.34152,3.00476e-05,3.00476e-05,3.00476e-05
53,131.848,0.59568,0.42118,1.1329,0.87971,0.55,0.71233,0.49654,1.48337,1.51038,1.34152,3.00242e-05,3.00242e-05,3.00242e-05
54,134.243,0.70688,0.79677,1.1838,0.87978,0.55,0.71543,0.49943,1.50664,1.55558,1.34922,2.99772e-05,2.99772e-05,2.99772e-05
55,136.65,0.66921,0.53189,1.00943,0.87978,0.55,0.71543,0.49943,1.50664,1.55558,1.34922,2.99066e-05,2.99066e-05,2.99066e-05
56,139.028,0.69789,0.72118,1.11321,0.87978,0.55,0.71543,0.49943,1.50664,1.55558,1.34922,2.98125e-05,2.98125e-05,2.98125e-05
57,141.44,0.49989,0.47055,1.00549,0.87677,0.55,0.71443,0.47977,1.52674,1.63182,1.34859,2.96948e-05,2.96948e-05,2.96948e-05
58,144.178,0.60119,0.49885,1.06698,0.87677,0.55,0.71443,0.47977,1.52674,1.63182,1.34859,2.95535e-05,2.95535e-05,2.95535e-05
59,146.509,0.64189,0.4553,1.10455,0.87677,0.55,0.71443,0.47977,1.52674,1.63182,1.34859,2.93887e-05,2.93887e-05,2.93887e-05
60,148.895,0.82082,0.7761,1.27416,0.88139,0.55315,0.72367,0.48319,1.54411,1.67862,1.35044,2.92003e-05,2.92003e-05,2.92003e-05
